Tier 1,Tier 2,Tier 3
BBC,@CareFreeYouth,@CareFreeYouth
DomFifield,BILD,@CheGiaevera
FabrizioRomano,CadenaSER,AS
Gianlucadi,Canal+,BenFairthorne
TelegraphDucker,COPE,BildSport
HLNinEngeland,DanLevene,CalcioMercato
mohamedbouhafsi,EveningStandard,ESPN
RMCSport,IanLadyman,GiveMeSport
,Kicker,GFFN
,L'Equipe,GuilemBalague
,MattBarlow,KavehSolhekol
,MattLaw,Marca
,NizaarKinsella,MundoDeportivo
,SimonJohnson,SimonPhillips
,Sport1,SkySports
,Telegraph,SportWitness
,TheAthletic,Sport
,TheGuardian,Talksport
,TheTimes,TheIndependent
,,Tuttomercatoweb
,,Tuttosport
